NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"III Wokshop Cinapce","","USP - Ribeirão Preto","Ribeirão Preto","",0
"II Workshop Cinapce","","The Royal Palm Plaza Hotel","Campinas","",1
"I Encontro dos Alunos e Docentes do Departamento de Computação e Automação Industrial","FEEC - UNICAMP","FEEC - UNICAMP","Campinas","",2
"SPIE Medical Imaging","SPIE","Lake Buena Vista","Lake Buena Vista","",3
"XXII Simpósio Barsileiro de Computação Gráfica e Processamento de Imagens (SIBGRAPI2009)","","PUC Rio de Janeiro","Rio de Janeiro","",4
"XX Brazilian Symposium on Computer Graphics and Image Processing (SIBGRAPI 2007)","SBC","Belo Horizonte","Belo Horizonte","",5
"Biomedical Imaging: From Nano to Macro, 2010 IEEE International Symposium on","","","Rotterdam","",6
"I Simpósio de Processamento de Sinais","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","Campinas","",7
"XVII Congresso Interno de Iniciação Científica da Unicamp (PIBIC)","UNICAMP","Ginásio Multidisciplinar da UNICAMP","Campinas","",8
"IV Workshop CInAPCe","CInAPCe","Instituto de Física de São Carlos - IFSC/USP","São Carlos","",9
"III Workshop Cinapce","CInAPCe","Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo","Ribeirão Preto","",10
"I Simpósio de Processamento de Sinais","Faculdade de Engenharia Elétricae de Computação da Universidade Estadual de Campinas","Faculdade de Engenharia Elétrica e de Computação","Campinas","",11
"XXII Brazilian Symposium of Computer Graphics and Imagen Processing (SIBGRAPI2009)","","","Rio de Janeiro","",12
"XXIV Conference on Graphics, Patterns and Images","","","Maceió","",13
"V Workshop CInAPCe","","","São Paulo","",14
"V Workshop CInAPCe","","","São Paulo","",15
"II Simpósio de Processamento de Sinais","FEEC - UNICAMP","","Campinas","",16
"II Simpósio de Processamento de Sinais","FEEC - UNICAMP","","Campinas","",17
"II Simpósio de Processamento de Sinais","FEEC - UNICAMP","","Campinas","",18
"IV Encontro dos Alunos e Docentes do Departamento de Computação e Automação Industrial","FEEC - UNICAMP","","Campinas","",19
"III Encontro dos Alunos e Doccentes do DCA","FEEC - UNICAMP","","Campinas","",20
"International Conference in Computational Science","","","","",21
"Semana de Engenharia das Faculdades Integradas do Instuto Paulista de Ensino e Pesquisa","Faculdades Integradas do Instituto Paulista de Ensino e Pesquisa","","Campinas","",22
"","Universidade Estadual de Campinas","Faculdade de Medicina","","",23
"","McGill University","Brain Imaging Center","Montreal","",24
"","Technische Universiteit Eindhoven","","Eindhoven","",25
"I Congresso Nacional de Pesquisa e Iniciação Científica","Centro Universitário Padre Anchieta","","","",26
"Annual Scientific Meeting Arthritis & Rheumatism","","USA","Philadelphia","",27
"Annual Scientific Meeting Arthritis & Rheumatism,","","USA","Geórgia","",28
"European League Against Rheumatology Annual Meeting","","","Londres","",29
"Annual Scientific Meeting Arthritis & Rheumatism","","","Chicago","",30
"XIX Encontro Rio-São Paulo de Reumatologia e XXI Jornada Paulista de Reumatologia","","","São Paulo","",31
"SPIE Medical Imaging","","","San Diego","",32
"Annual European Congress of Rheumatology","","","Berlin","",33
"Annual European Congress of Rheumatology","","","Berlin","",34
"SPIE Medical Imaging","SPIE","","Lake Buena Vista, FL","",35
"Graphics, Patterns and Images (SIBGRAPI), 2012 25th SIBGRAPI Conference on","","","Ouro Preto","",36
"Medical Image Processing Group (MIPG) Seminar Series 32 - Fall 2012","University of Pennsylvania","Perelman School of Medicine","Philadelphia","",37
"SPIE Medical Imaging","SPIE","","San Diego","",38
"First Congress CEPID BRAINN","","Universidade Estadual de Campinas","Campinas","",39
"Primeiro Encontro CEPID BRAINN","","","Águas de São Pedro","",40
"SPIE Medical Imaging","SPIE","","Orlando","",41
"SPIE Medical Imaging","SPIE","","Orlando","",42
"International Conference on Image Processing Theory, Tools and Applications","","","Orléans","",43
"International Conference on Image Processing (ICIP)","","","Quebec","",44
"Série de Seminários do Instituto de Computação","Instituto de Computação da Universidade Estadual de Campinas","","Campinas","",45
"SPIE Medical Imaging 2016","","","San Diego","",46
"The 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC'16)","IEEE Engineering in Medicine and Biology Society","","Orlando","",47
"II Encontro dos Alunos e Docentes do Departamento de Computação e Automação Industrial","FEEC - UNICAMP","FEEC - UNICAMP","Campinas","",48
