NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Outra",""Educação musical multicultural"","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",0
"Outra","A estrutura curricular dos cursos de licenciatura em música","2008","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Outra","Oficina "Vivências musicais e brincadeiras infantis"","2009","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",2
"Outra","A extensão como espaço de formação para o educador musical","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",3
"Outra","Ampliando os laços com a escola - um projeto de extensão de educação musical em Várzea Paulista (SP)","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",4
"Outra","A Educação Musical no Brasil do Século XXI: música na escola e seus desafios contemporâneos","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",5
"Outra","Um estudo experimental a respeito da apreciação musical de alunos do ensino fundamental no ensino musical via computador","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",6
"Outra","Educação musical e ambientes virtuais de aprendizagem","2008","México","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Outra","Os cursos superiores de Música e a extensão universitária","2009","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",8
"Outra","Os estágios pedagógicos como forma de integração entre ensino, pesquisa e extensão","2009","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",9
"Outra","Atividades Orff","2014","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",10
"Outra","Lei 11.769/2008","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",11
"Outra","","2011","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",12
"Outra","?Educador musical- formação, âmbitos de atuação e desafios a enfrentar?","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",13
"Outra","Coordenação do grupo de musicalização infantil da Unicamp","2012","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","SIM",14
"Outra","Participação como integrante da Orquestra Experimental","2008","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","SIM",15
"Outra","","2011","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",16
"Outra","As possibilidades práticas da Educação Musical no Ensino Fundamental","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",17
"Outra","Uma abordagem multicultural para a educação musical- Faculdade Nazarena do Brasil","2013","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","SIM",18
"Outra","","2013","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",19
