SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-SIMPOSIO_Id
"Indústria Metal-Mecânica","","",0,,,,,,,,,,
"Aeronáutica e Espaço","","",,0,,,,,,,,,
"Construção Civil","","",,,56,,,,,,,,
"Extração de Petróleo e Serviços Correlatos","Aeronáutica e Espaço","",,,59,,,,,,,,
"Aeronáutica e Espaço","","",,,60,,,,,,,,
"Aeronáutica e Espaço","Extração de Petróleo e Serviços Correlatos","",,,61,,,,,,,,
"Aeronáutica e Espaço","","",,,65,,,,,,,,
"Extração de Petróleo e Serviços Correlatos","","",,,96,,,,,,,,
"Aeronáutica e Espaço","","",,,,18,,,,,,,
"Informática","","",,,,26,,,,,,,
"Aeronáutica e Espaço","","",,,,,0,,,,,,
"Extração de Petróleo e Gás Natural","","",,,,,,1,,,,,
"Telecomunicações","","",,,,,,,2,,,,
"Aeronáutica e Espaço","","",,,,,,,,2,,,
"Construção Civil","","",,,,,,,,3,,,
"Extração de Petróleo e Serviços Correlatos","","",,,,,,,,9,,,
"Aeronáutica e Espaço","","",,,,,,,,,3,,
"Extração de Petróleo e Serviços Correlatos","","",,,,,,,,,5,,
"Extração de Petróleo e Gás Natural","","",,,,,,,,,9,,
"Extração de Petróleo e Gás Natural","","",,,,,,,,,10,,
"Aeronáutica e Espaço","","",,,,,,,,,,2,
"Extração de Petróleo e Serviços Correlatos","","",,,,,,,,,,,0
