NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário Internacional ICDD","","","","Johannesburgo","",0
"Seminário Internacional: Finanças Mundiais e Estratégias dos países em Desenvolvimento: Tendências do Acordo de Basiléia II","","","","Campinas - SP","",1
"Seminário do Projeto FAPESP","","","","Campinas - SP","",2
"Seminário sobre Pesquisa em Relações Econômicas Internacionais - Fundação Alexandre Gusmão (FUNAG)","","","","Rio de Janeiro - RJ","",3
"Acumulação e rentismo: resgatando a teoria de Marx para pensar o capitalismo contemporâneo","","","","Campinas","",4
"Seminário e lançamento de livro "Formação e internacionalização de grandes empresas: experiências internacionais selecionadas","","","","Campinas","",5
"Seminário: O papel das políticas públicas na formação e internacionalização de grandes grupos nacionais: experiências internacionais, desafios brasileiros","","","","Campinas","",6
"Seminário Economia às 51/2 (PUC-RS)","","","","Porto Alegre - RS","",7
"Seminário de Professores do Instituto de Economia","","","","Campinas","",8
"Seminário Internacional: Taxação Sobre Fluxos Financeiros para um Mundo Melhor","","","","Brasília","",9
"A crise mundial e os desafios de um novo padrão de desenvolvimento para as economias emergentes da América Latina, com especial referência ao caso brasileiro","","","","Campinas","",10
"INTERNATION SEMINAR ON BRICS ECONOMIES","","","","Campinas","",11
"Economic Research Seminar Series and Workshop on Finance and Inequality","","","","Leeds","",12
"Seminário ?Regulamentação e Supervisão de Risco Bancário?","","","","Campinas - SP","",13
"The Hyman P. Minsky Summer Seminar","","","","Annandale on Hudson","",14
"Marx, o caderno B113, e a crise","","","","Campinas","",15
"II Seminário sobre Pesquisas em Relações Econômicas Internacionais","","","","Brasília, DF","",16
"Seminário do Projeto FAPESP","","","","Campinas","",17
"Levy Institute's Festschrift Conference "Contributions to Economic Theory, Policy, Development and Finance: Essays in Honor of Jan A. Kregel"","","","","Annandale on Hudson","",18
"Seminário sobre Desenvolvimento: Agenda Nacional de Desenvolvimento em Debate","","","","Brasília - DF","",19
"Seminário: Ministério do Trabalho","","","","Brasília - DF","",20
"Financialization of transnational corporations","","","","Campinas","",21
"Seminário","","","","São Paulo - SP","",22
"VIII Encontro da AKB","","","","Uberlandia","",23
