NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","",1
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",4
"CIENCIAS_SOCIAIS_APLICADAS","Planejamento Urbano e Regional","","",5
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","Economia Urbana",6
"CIENCIAS_HUMANAS","Sociologia","","",7
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","",8
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","Economia Urbana",9
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","Habitação Social","",10
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",11
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",13
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",14
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","",19
"CIENCIAS_HUMANAS","Sociologia","","",21
"CIENCIAS_HUMANAS","Sociologia","","",24
"CIENCIAS_HUMANAS","Sociologia","","",25
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",33
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",36
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","","",38
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",41
"LINGUISTICA_LETRAS_E_ARTES","Artes","Fundamentos e Crítica das Artes","",46
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",49
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","Economia Urbana",54
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","",55
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Planejamento Urbano e Regional","",56
"CIENCIAS_HUMANAS","Geografia","Geografia Humana","",57
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","Economia Urbana",61
"CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia Regional e Urbana","Economia Urbana",67
"CIENCIAS_SOCIAIS_APLICADAS","Arquitetura e Urbanismo","Habitação Social","",70
